"dataset_accession","matrix_file","n_matrix_samples","platform","role","story_scope","include_primary_analysis","normalized_matrix_url","supplementary_url","raw_data_availability","supplementary_file_count","supplementary_examples","overlap_flag","notes"
"GSE25066","GSE25066_series_matrix.txt.gz","508","GPL96","discovery_model_reconstruction_base","full_benchmark","yes","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25066/matrix/GSE25066_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25066/suppl/","yes_or_possible_supplementary","3","filelist.txt;GSE25066_Genelist_weights.txt.gz;GSE25066_RAW.tar","superset_of_GSE25055_GSE25065; do_not_combine_with_GSE25055_or_GSE25065","chosen over GSE25055 to use the larger Hatzis/MDACC-USO series"
"GSE20271","GSE20271_series_matrix.txt.gz","178","GPL96","external_validation_1","full_benchmark","yes","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20271/matrix/GSE20271_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20271/suppl/","yes_or_possible_supplementary","2","filelist.txt;GSE20271_RAW.tar","I-SPY1 independent validation; check against I-SPY2 separately",""
"GSE32646","GSE32646_series_matrix.txt.gz","115","GPL570","external_validation_2_and_TNBC_ER_negative","full_benchmark;subtype_TNBC_ER_negative","yes","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32646/matrix/GSE32646_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32646/suppl/","yes_or_possible_supplementary","2","filelist.txt;GSE32646_RAW.tar","independent ER-negative cohort",""
"GSE41998","GSE41998_series_matrix.txt.gz","279","GPL571","external_validation_3","full_benchmark","yes","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41998/matrix/GSE41998_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41998/suppl/","yes_or_possible_supplementary","2","filelist.txt;GSE41998_RAW.tar","independent trial; treatment arm heterogeneity",""
"GSE50948","GSE50948_series_matrix.txt.gz","156","GPL570","external_validation_4_and_HER2_positive","full_benchmark;subtype_HER2_positive","yes","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50948/matrix/GSE50948_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50948/suppl/","yes_or_possible_supplementary","2","filelist.txt;GSE50948_RAW.tar","NOAH HER2-positive trial; independent from CHER-LOB/TRYPHAENA",""
"GSE66305","GSE66305_series_matrix.txt.gz","88","GPL570","external_validation_5_and_HER2_positive","full_benchmark;subtype_HER2_positive","yes","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66305/matrix/GSE66305_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66305/suppl/","yes_or_possible_supplementary","2","filelist.txt;GSE66305_RAW.tar","CHER-LOB HER2-positive trial",""
"GSE163882","GSE163882_series_matrix.txt.gz","222","GPL18573","external_validation_6_RNAseq_FFPE","full_benchmark","yes","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE163nnn/GSE163882/matrix/GSE163882_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE163nnn/GSE163882/suppl/","yes_or_possible_supplementary","1","GSE163882_all.data.tpms_222Samples.csv.gz","RNA-seq FFPE multi-center; platform stress for microarray-trained models",""
"GSE194040","GSE194040-GPL20078_series_matrix.txt.gz","654","GPL20078","large_stress_test_I-SPY2","full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive","yes_stress_test","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194040/matrix/GSE194040-GPL20078_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194040/suppl/","yes_or_possible_supplementary","8","filelist.txt;GSE194040_ISPY2_LinearFit_forCombiningExp_20078.txt.gz;GSE194040_ISPY2_LinearFit_forCombiningExp_GPL30493_wasGPL16233.txt.gz;GSE194040_ISPY2ResID_AgilentGeneExp_990_FrshFrzn_GPL20078_ProbeLevel_n654.txt.gz;GSE194040_ISPY2ResID_AgilentGeneExp_990_FrshFrzn_GPL30493.wasGPL16233_ProbeLevel_n334.txt.gz","I-SPY2-990 mRNA component; do_not_combine_with_GSE196096_or_I-SPY2_subseries","two matrix files represent different platforms/batches"
"GSE194040","GSE194040-GPL30493_series_matrix.txt.gz","334","GPL30493","large_stress_test_I-SPY2","full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive","yes_stress_test","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194040/matrix/GSE194040-GPL30493_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194040/suppl/","yes_or_possible_supplementary","8","filelist.txt;GSE194040_ISPY2_LinearFit_forCombiningExp_20078.txt.gz;GSE194040_ISPY2_LinearFit_forCombiningExp_GPL30493_wasGPL16233.txt.gz;GSE194040_ISPY2ResID_AgilentGeneExp_990_FrshFrzn_GPL20078_ProbeLevel_n654.txt.gz;GSE194040_ISPY2ResID_AgilentGeneExp_990_FrshFrzn_GPL30493.wasGPL16233_ProbeLevel_n334.txt.gz","I-SPY2-990 mRNA component; do_not_combine_with_GSE196096_or_I-SPY2_subseries","two matrix files represent different platforms/batches"
"GSE106977","GSE106977_series_matrix.txt.gz","119","GPL17586","subtype_validation_TNBC","subtype_TNBC_ER_negative","subtype_only","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106977/matrix/GSE106977_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106977/suppl/","yes_or_possible_supplementary","2","filelist.txt;GSE106977_RAW.tar","TNBC-specific subtype validation",""
