gene_symbol,n_matrices_present,GSE25066_GPL96,GSE20271_GPL96,GSE32646_GPL570,GSE41998_GPL571,GSE50948_GPL570,GSE66305_GPL570,GSE163882_GPL18573,GSE194040_GPL20078,GSE194040_GPL30493,GSE106977_GPL17586,GSE109710_GPL24546,GSE130786_GPL6480
A_24_P915322,1,0,0,0,0,0,0,0,0,1,0,0,0
A_32_P108748,1,0,0,0,0,0,0,0,0,1,0,0,0
A1BG,7,0,0,1,0,1,1,1,1,1,0,0,1
A1BG-AS1,7,0,0,1,0,1,1,1,1,1,0,0,1
A1CF,10,1,1,1,1,1,1,1,1,1,0,0,1
A2M,10,1,1,1,1,1,1,1,1,1,0,0,1
A2M-AS1,5,0,0,1,0,1,1,1,1,0,0,0,0
A2ML1,7,0,0,1,0,1,1,1,1,1,0,0,1
A2ML1-AS1,1,0,0,0,0,0,0,1,0,0,0,0,0
A2ML1-AS2,1,0,0,0,0,0,0,1,0,0,0,0,0
A2MP1,4,0,0,1,0,1,1,1,0,0,0,0,0
A3GALT2,3,0,0,0,0,0,0,1,1,1,0,0,0
A4GALT,10,1,1,1,1,1,1,1,1,1,0,0,1
A4GNT,10,1,1,1,1,1,1,1,1,1,0,0,1
AA06,4,0,0,1,0,1,1,1,0,0,0,0,0
AAAS,10,1,1,1,1,1,1,1,1,1,0,0,1
AACS,10,1,1,1,1,1,1,1,1,1,0,0,1
AACSP1,5,0,0,1,0,1,1,1,1,0,0,0,0
AADAC,10,1,1,1,1,1,1,1,1,1,0,0,1
AADACL2,7,0,0,1,0,1,1,1,1,1,0,0,1
AADACL2-AS1,1,0,0,0,0,0,0,1,0,0,0,0,0
AADACL3,2,0,0,0,0,0,0,1,1,0,0,0,0
AADACL4,2,0,0,0,0,0,0,1,1,0,0,0,0
AADACP1,5,0,0,1,0,1,1,1,1,0,0,0,0
AADAT,7,0,0,1,0,1,1,1,1,1,0,0,1
AAED1,7,0,0,1,0,1,1,1,1,1,0,0,1
AAGAB,10,1,1,1,1,1,1,1,1,1,0,0,1
AAK1,10,1,1,1,1,1,1,1,1,1,0,0,1
AAMDC,10,1,1,1,1,1,1,1,1,1,0,0,1
AAMP,10,1,1,1,1,1,1,1,1,1,0,0,1
AANAT,10,1,1,1,1,1,1,1,1,1,0,0,1
AAR2,10,1,1,1,1,1,1,1,1,1,0,0,1
AARD,4,0,0,0,0,0,0,1,1,1,0,0,1
AARS,10,1,1,1,1,1,1,1,1,1,0,0,1
AARS2,7,0,0,1,0,1,1,1,1,1,0,0,1
AARSD1,7,1,1,1,1,1,1,1,0,0,0,0,0
AARSP1,1,0,0,0,0,0,0,1,0,0,0,0,0
AASDH,7,0,0,1,0,1,1,1,1,1,0,0,1
AASDHPPT,10,1,1,1,1,1,1,1,1,1,0,0,1
AASS,10,1,1,1,1,1,1,1,1,1,0,0,1
AATBC,4,0,0,1,0,1,1,0,0,0,0,0,1
AATF,10,1,1,1,1,1,1,1,1,1,0,0,1
AATK,10,1,1,1,1,1,1,1,1,1,0,0,1
AATK-AS1,2,0,0,0,0,0,0,1,1,0,0,0,0
AB015752.3,1,0,0,0,0,0,0,1,0,0,0,0,0
AB019438.66,1,0,0,0,0,0,0,1,0,0,0,0,0
AB019440.50,1,0,0,0,0,0,0,1,0,0,0,0,0
AB019441.29,1,0,0,0,0,0,0,1,0,0,0,0,0
ABAT,10,1,1,1,1,1,1,1,1,1,0,0,1
ABBA01010927.1,1,0,0,0,0,0,0,1,0,0,0,0,0
ABBA01010927.2,1,0,0,0,0,0,0,1,0,0,0,0,0
ABBA01014710.1,1,0,0,0,0,0,0,1,0,0,0,0,0
ABBA01015879.1,1,0,0,0,0,0,0,1,0,0,0,0,0
ABBA01017803.1,1,0,0,0,0,0,0,1,0,0,0,0,0
ABBA01031658.1,1,0,0,0,0,0,0,1,0,0,0,0,0
ABBA01031663.1,1,0,0,0,0,0,0,1,0,0,0,0,0
ABBA01031664.1,1,0,0,0,0,0,0,1,0,0,0,0,0
ABBA01031674.1,1,0,0,0,0,0,0,1,0,0,0,0,0
ABBA01037345.1,1,0,0,0,0,0,0,1,0,0,0,0,0
ABBA01037346.1,1,0,0,0,0,0,0,1,0,0,0,0,0
ABBA01037349.1,1,0,0,0,0,0,0,1,0,0,0,0,0
