classifier_id,classifier_name,gene_symbol_original,gene_symbol_harmonized,gene_role,weight,source_probe,source_object,source_note,row_in_classifier_source
PAM50,PAM50 intrinsic subtype classifier,ACTR3B,ACTR3B,,,ACTR3B,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,1
PAM50,PAM50 intrinsic subtype classifier,ANLN,ANLN,,,ANLN,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,2
PAM50,PAM50 intrinsic subtype classifier,BAG1,BAG1,,,BAG1,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,3
PAM50,PAM50 intrinsic subtype classifier,BCL2,BCL2,,,BCL2,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,4
PAM50,PAM50 intrinsic subtype classifier,BIRC5,BIRC5,,,BIRC5,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,5
PAM50,PAM50 intrinsic subtype classifier,BLVRA,BLVRA,,,BLVRA,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,6
PAM50,PAM50 intrinsic subtype classifier,CCNB1,CCNB1,,,CCNB1,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,7
PAM50,PAM50 intrinsic subtype classifier,CCNE1,CCNE1,,,CCNE1,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,8
PAM50,PAM50 intrinsic subtype classifier,CDC20,CDC20,,,CDC20,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,9
PAM50,PAM50 intrinsic subtype classifier,CDC6,CDC6,,,CDC6,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,10
PAM50,PAM50 intrinsic subtype classifier,CDCA1,CDCA1,,,CDCA1,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,11
PAM50,PAM50 intrinsic subtype classifier,CDH3,CDH3,,,CDH3,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,12
PAM50,PAM50 intrinsic subtype classifier,CENPF,CENPF,,,CENPF,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,13
PAM50,PAM50 intrinsic subtype classifier,CEP55,CEP55,,,CEP55,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,14
PAM50,PAM50 intrinsic subtype classifier,CXXC5,CXXC5,,,CXXC5,genefu::pam50$centroids.map,50-gene centroid classifier from genefu source object,15
