dataset_accession,matrix_label,platform,analysis_set,classifier_id,classifier_score_name,n_genes_required,n_genes_available,coverage_pct,n_samples,n_scores_nonmissing,n_scores_missing,n_unique_patients,score_mean,score_sd,score_min,score_median,score_max,score_status_values
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,PAM50,PAM50 non-luminal affinity score,50,42,84,508,508,0,508,-0.103222278723951,0.563023013125853,-1.30929422251033,-0.150555060367879,0.848715663236367,scored_preferred_coverage
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,51,36,70.6,508,508,0,508,4.379397773312e-17,0.413949965535641,-1.02674214488169,0.0215012067214103,0.952984093075069,scored_low_coverage_exploratory
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,15,93.8,508,508,0,508,4.44080232634732e-17,0.553332363400998,-1.54274565173672,0.0702077632247422,1.24928647942744,scored_preferred_coverage
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,99,87,87.9,508,508,0,508,-1.58783622451356e-16,1.10622811250364,-2.69388005245256,0.104666129023472,2.59204707379212,scored_preferred_coverage
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,58,48,82.8,508,508,0,508,-6.46709788619674e-17,0.287955538545039,-0.830551621277319,-0.0173793907160325,0.865042006780165,scored_preferred_coverage
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,8,8,100,508,508,0,508,-1.22938762137535e-17,0.617882044948184,-1.73908372976313,0.0676070297489126,1.39090442553877,scored_preferred_coverage
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,18,16,88.9,508,508,0,508,-1.06574192309394e-16,0.689161115017405,-1.61974573376401,-0.0729551326715138,2.12345335118038,scored_preferred_coverage
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,2,2,100,508,508,0,508,-4.21606954564704e-16,0.932259014769608,-3.2403519815285,-0.116885199161761,3.24059760397571,scored_preferred_coverage
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,PAM50,PAM50 non-luminal affinity score,50,42,84,178,178,0,178,-0.133296429459125,0.499452860619569,-1.32517624179564,-0.16384409691273,0.791183858682441,scored_preferred_coverage
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,51,36,70.6,178,178,0,178,1.10551314074946e-17,0.353870115680835,-1.01793908514408,0.0256474223155748,0.945044207541445,scored_low_coverage_exploratory
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,15,93.8,178,178,0,178,-1.34656920031391e-16,0.543090414459666,-1.64200132443197,0.0177613933191468,1.51132303614268,scored_preferred_coverage
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,99,87,87.9,178,178,0,178,1.03417964247687e-18,0.933113556631391,-2.17260117788834,-0.0401620136876034,2.90671961275732,scored_preferred_coverage
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,58,48,82.8,178,178,0,178,-2.01953973207468e-17,0.299872570154666,-0.583978510686887,-0.0341394267636272,1.12080480539067,scored_preferred_coverage
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,8,8,100,178,178,0,178,-6.37779339279636e-16,0.583137686424339,-1.38559116547604,0.0527317805738347,1.4446469251089,scored_preferred_coverage
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,18,16,88.9,178,178,0,178,-1.11156304978216e-16,0.610560199930673,-1.61082794968777,-0.0892239913655948,2.10224741860057,scored_preferred_coverage
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,2,2,100,178,178,0,178,-7.31014996744465e-16,0.914887446021291,-2.36596153589315,-0.121126895882811,2.99139438076028,scored_preferred_coverage
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,PAM50,PAM50 non-luminal affinity score,50,47,94,115,115,0,115,-0.16211740337047,0.568245130485592,-1.25346901017576,-0.195536540240518,0.827705827937095,scored_preferred_coverage
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,51,41,80.4,115,115,0,115,8.11973737982173e-17,0.421182675096839,-1.06403018639845,0.0317982158579386,0.859934590352641,scored_preferred_coverage
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,15,93.8,115,115,0,115,1.35732684150207e-17,0.659599458348837,-2.02613179023935,0.14908599354896,1.43093951164455,scored_preferred_coverage
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,99,87,87.9,115,115,0,115,6.99074705128697e-17,1.30290536008488,-2.92684201186358,-0.00991327484895488,2.36074565765249,scored_preferred_coverage
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,58,48,82.8,115,115,0,115,-8.81059807501322e-17,0.31805681409331,-0.632832480803267,-0.0240818293409372,0.847516504843626,scored_preferred_coverage
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,8,8,100,115,115,0,115,-2.10600143906073e-16,0.637130034560507,-1.24053330918397,0.0805706991371544,1.38810680797019,scored_preferred_coverage
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,18,18,100,115,115,0,115,4.48576864059655e-17,0.785987545662369,-2.1132176123061,-0.0212102476362113,1.80526575276011,scored_preferred_coverage
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,2,2,100,115,115,0,115,1.8761977177187e-16,0.944952506676617,-2.45482187307214,0.017113401417182,2.32258533188142,scored_preferred_coverage
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,PAM50,PAM50 non-luminal affinity score,50,42,84,279,279,0,279,-0.0861812433363858,0.649065089720279,-1.41463414634146,0.0873511060692002,0.810469167814602,scored_preferred_coverage
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,51,36,70.6,279,279,0,279,3.15677703511425e-17,0.510478672222793,-0.960664463800922,0.0167537590716398,1.12225947477554,scored_low_coverage_exploratory
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,15,93.8,279,279,0,279,1.66733972805244e-17,0.648440486000485,-1.42889282973472,0.119526571471206,1.55429662475809,scored_preferred_coverage
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,99,87,87.9,279,279,0,279,9.15882699729099e-17,1.45938539943593,-2.9913392159158,0.221663945453577,2.7510912696497,scored_preferred_coverage
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,58,48,82.8,279,279,0,279,-9.38975428797182e-17,0.337136206050102,-0.910195831530574,0.0172790865900996,1.04004601164436,scored_preferred_coverage
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,8,8,100,279,279,0,279,-2.41556358000478e-16,0.647079843124365,-1.51588563471646,0.164035604323466,1.27567454609941,scored_preferred_coverage
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,18,16,88.9,279,279,0,279,2.50679346092623e-16,0.815708425067295,-1.84076314023216,-0.110814298811696,2.30422517517385,scored_preferred_coverage
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,2,2,100,279,279,0,279,-1.37574714833956e-16,0.962834539852549,-2.13971958423609,-0.106048102042009,3.24320996775995,scored_preferred_coverage
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,PAM50,PAM50 non-luminal affinity score,50,47,94,156,156,0,156,-0.0689280462060296,0.392895819451045,-1.15656799259945,-0.0439986123959297,0.831059204440333,scored_preferred_coverage
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,51,41,80.4,156,156,0,156,4.62419176578994e-17,0.327653476944019,-1.07916764614224,0.0357295410218027,0.74468214452922,scored_preferred_coverage
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,15,93.8,156,156,0,156,2.57352065672857e-17,0.478393357929749,-1.415168907118,0.0301158451701318,1.13102987340914,scored_preferred_coverage
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,99,87,87.9,156,156,0,156,1.63396217407492e-16,0.784524955883381,-2.33143870096443,-0.0130703673897278,2.07915310035931,scored_preferred_coverage
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,58,48,82.8,156,156,0,156,-7.65266033412685e-17,0.209792979802476,-0.604499920176395,-0.0294870751196652,0.742504759780136,scored_preferred_coverage
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,8,8,100,156,156,0,156,-1.90499881716844e-18,0.48702765389385,-1.45141447130024,0.0715740635292154,1.31505191297005,scored_preferred_coverage
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,18,18,100,156,156,0,156,3.69005776900567e-17,0.504794337737334,-1.0407989951248,-0.0966381048578029,1.50761676391187,scored_preferred_coverage
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,2,2,100,156,156,0,156,2.81602836140683e-16,0.875775884441566,-1.54450639927849,-0.127966593715579,2.91700494710751,scored_preferred_coverage
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,PAM50,PAM50 non-luminal affinity score,50,47,94,88,88,0,88,-0.125243093516105,0.466464915740591,-1.1718316373728,-0.077763644773358,0.744218316373728,scored_preferred_coverage
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,51,41,80.4,88,88,0,88,-5.39119530268417e-17,0.398915803406441,-0.954194764692179,0.0132006789449764,1.48858570743542,scored_preferred_coverage
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,15,93.8,88,88,0,88,4.45206677316477e-17,0.669002645093796,-1.66263852568435,0.0912097962692736,1.40909156481579,scored_preferred_coverage
