dataset_accession,matrix_label,matrix_file,platform,expression_source_type,expression_matrix_source_url,n_manifest_samples,n_matched_samples,n_features_raw,n_single_gene_features_used,n_unique_genes_after_collapse,n_genes_after_zscore_nonzero_sd,raw_min,raw_max,expression_scale_guess_step2,transform_rule,transformed_min,transformed_max,duplicate_probe_collapse_rule,multi_gene_probe_rule,analysis_set
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25066/matrix/GSE25066_series_matrix.txt.gz,508,508,22283,19904,12480,12480,-5.026351893,21.0321122,likely_log2_or_normalized_continuous,keep_as_provided,-5.026351893,21.0321122,mean_across_single_gene_probes_outcome_blind,excluded_from_scoring,core_full_benchmark
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20271/matrix/GSE20271_series_matrix.txt.gz,178,178,22283,19904,12480,12480,0,31168.7,likely_linear_count_or_unlogged_intensity,log2_pmax0_plus1,0,14.9278566490268,mean_across_single_gene_probes_outcome_blind,excluded_from_scoring,core_full_benchmark
GSE32646,GSE32646_GPL570,GSE32646_series_matrix.txt.gz,GPL570,series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32646/matrix/GSE32646_series_matrix.txt.gz,115,115,54613,42851,20818,20818,-5.254537741,16.53461248,likely_log2_or_normalized_continuous,keep_as_provided,-5.254537741,16.53461248,mean_across_single_gene_probes_outcome_blind,excluded_from_scoring,core_full_benchmark
GSE41998,GSE41998_GPL571,GSE41998_series_matrix.txt.gz,GPL571,series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41998/matrix/GSE41998_series_matrix.txt.gz,279,279,22277,19902,12480,12480,2.498,14.773,likely_log2_or_normalized_continuous,keep_as_provided,2.498,14.773,mean_across_single_gene_probes_outcome_blind,excluded_from_scoring,core_full_benchmark
GSE50948,GSE50948_GPL570,GSE50948_series_matrix.txt.gz,GPL570,series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50948/matrix/GSE50948_series_matrix.txt.gz,156,156,54675,42861,20818,20818,0.514264471,13.80251035,likely_log2_or_normalized_continuous,keep_as_provided,0.514264471,13.80251035,mean_across_single_gene_probes_outcome_blind,excluded_from_scoring,core_full_benchmark
GSE66305,GSE66305_GPL570,GSE66305_series_matrix.txt.gz,GPL570,series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66305/matrix/GSE66305_series_matrix.txt.gz,88,88,54675,42861,20818,20818,1.73888,14.8914,likely_log2_or_normalized_continuous,keep_as_provided,1.73888,14.8914,mean_across_single_gene_probes_outcome_blind,excluded_from_scoring,core_full_benchmark
GSE163882,GSE163882_GPL18573,GSE163882_series_matrix.txt.gz,GPL18573,supp_tpm_csv,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE163nnn/GSE163882/suppl/GSE163882_all.data.tpms_222Samples.csv.gz,222,222,60279,60279,58201,47186,0,326199.54,likely_linear_count_or_unlogged_intensity,log2_pmax0_plus1,0,18.3153996447597,mean_across_single_gene_probes_outcome_blind,excluded_from_scoring,core_full_benchmark
GSE194040,GSE194040_GPL20078,GSE194040-GPL20078_series_matrix.txt.gz,GPL20078,supp_probe_level,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194040/suppl/GSE194040_ISPY2ResID_AgilentGeneExp_990_FrshFrzn_GPL20078_ProbeLevel_n654.txt.gz,654,654,32146,30073,21458,21458,2.281,20.29,likely_log2_or_normalized_continuous,keep_as_provided,2.281,20.29,mean_across_single_gene_probes_outcome_blind,excluded_from_scoring,large_stress_test
GSE194040,GSE194040_GPL30493,GSE194040-GPL30493_series_matrix.txt.gz,GPL30493,supp_probe_level,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194040/suppl/GSE194040_ISPY2ResID_AgilentGeneExp_990_FrshFrzn_GPL30493.wasGPL16233_ProbeLevel_n334.txt.gz,334,334,40793,32338,20804,20804,3.257,20.635,likely_log2_or_normalized_continuous,keep_as_provided,3.257,20.635,mean_across_single_gene_probes_outcome_blind,excluded_from_scoring,large_stress_test
GSE106977,GSE106977_GPL17586,GSE106977_series_matrix.txt.gz,GPL17586,series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106977/matrix/GSE106977_series_matrix.txt.gz,119,119,70523,1621,1621,1621,2.23668,19.93151,likely_log2_or_normalized_continuous,keep_as_provided,2.23668,19.93151,mean_across_single_gene_probes_outcome_blind,excluded_from_scoring,limited_subtype_panel_or_gene_space
