dataset_accession,matrix_label,matrix_file,platform,analysis_set,classifier_id,n_genes_required,n_genes_available,coverage_pct,status_detail
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,PAM50,50,42,84,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,MAMMAPRINT_70,51,36,70.6,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,ONCOTYPE_DX_21,16,15,93.8,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,GGI_128_PROBE,99,87,87.9,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,GENE76,58,48,82.8,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,ENDOPREDICT_11,8,8,100,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,IFNG_18,18,16,88.9,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,2,2,100,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,PAM50,50,42,84,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,MAMMAPRINT_70,51,36,70.6,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,ONCOTYPE_DX_21,16,15,93.8,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,GGI_128_PROBE,99,87,87.9,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,GENE76,58,48,82.8,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,ENDOPREDICT_11,8,8,100,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,IFNG_18,18,16,88.9,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,2,2,100,""
GSE32646,GSE32646_GPL570,GSE32646_series_matrix.txt.gz,GPL570,core_full_benchmark,PAM50,50,47,94,""
