dataset_accession,matrix_label,platform,analysis_set,classifier_id,classifier_score_name,score_status,n,n_pcr,n_rd,mean_predicted_probability,observed_pcr_rate,brier_score,calibration_intercept_offset,calibration_model_intercept,calibration_slope,observed_expected_ratio,discovery_model_status,calibration_role
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,110,47,63,0.20284098128184,0.427272727272727,0.294276859918402,1.07588656622437,13.2872632979469,9.92488489585331,2.10644182734971,fit_ok,limited_or_subtype_exploratory
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,222,80,142,0.202838641108261,0.36036036036036,0.254214810784555,0.795009235097901,19.5656676225337,14.7285518969294,1.77658634662232,fit_ok,external_core_validation
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,654,214,440,0.202837898151682,0.327217125382263,0.234702315632137,0.647978457489815,17.31214365458,13.1928197779724,1.61319520841007,fit_ok,large_stress_test
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,334,105,229,0.202837940601829,0.31437125748503,0.226902765500092,0.589001979386703,21.3925994714369,16.2294274298486,1.54986417507631,fit_ok,large_stress_test
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,178,26,152,0.202838942882982,0.146067415730337,0.12730525309529,-0.397198734014629,18.8749749551938,15.1387899886289,0.720115248355457,fit_ok,external_core_validation
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,488,99,389,0.20286885245907,0.202868852459016,0.161689607026032,-5.24946070387417e-14,-1.01989521204369e-13,0.999999999999926,0.999999999999734,fit_ok,apparent_discovery
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,115,27,88,0.202842067507337,0.234782608695652,0.179500065687631,0.187160129858651,26.9581521103495,20.6402335145966,1.15746507408854,fit_ok,external_core_validation
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,253,69,184,0.203102498579453,0.272727272727273,0.202022662012397,0.386269023685704,21.0193889749042,16.13679698577,1.34280609364627,fit_ok,external_core_validation
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,156,53,103,0.202834773074938,0.33974358974359,0.242584614715296,0.704363862840258,9.1878800136083,7.20223534434214,1.67497704951246,fit_ok,external_core_validation
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,88,27,61,0.202841885956603,0.306818181818182,0.222750649273382,0.55370274269334,13.661414163726,10.5917937658897,1.51259775746625,fit_ok,external_core_validation
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,107,46,61,0.197874218804303,0.429906542056075,0.291333125050342,1.19210726680092,0.774257070200497,0.713070040511326,2.17262534075372,fit_ok,limited_or_subtype_exploratory
