classifier_id,platform,analysis_set,score_status,n_comparisons,median_auc,min_auc,max_auc,n_auc_below_0_55,n_low_coverage,n_not_primary,n_total_samples,failure_mode_flag
CYTOLYTIC_ACTIVITY_2,GPL6480,subtype_validation_only,scored_preferred_coverage,1,0.584262073623776,0.584262073623776,0.584262073623776,0,0,1,110,no_major_flag_in_step5
CYTOLYTIC_ACTIVITY_2,GPL18573,core_full_benchmark,scored_preferred_coverage,1,0.629137323943662,0.629137323943662,0.629137323943662,0,0,0,222,no_major_flag_in_step5
CYTOLYTIC_ACTIVITY_2,GPL20078,large_stress_test,scored_preferred_coverage,1,0.61839422259983,0.61839422259983,0.61839422259983,0,0,1,654,no_major_flag_in_step5
CYTOLYTIC_ACTIVITY_2,GPL30493,large_stress_test,scored_preferred_coverage,1,0.63967560823456,0.63967560823456,0.63967560823456,0,0,1,334,no_major_flag_in_step5
CYTOLYTIC_ACTIVITY_2,GPL96,core_full_benchmark,scored_preferred_coverage,2,0.58170189517859,0.524992859183091,0.638410931174089,1,0,0,666,potential_failure_mode
CYTOLYTIC_ACTIVITY_2,GPL570,core_full_benchmark,scored_preferred_coverage,3,0.599878567091682,0.564755449716065,0.662457912457913,0,0,0,359,no_major_flag_in_step5
CYTOLYTIC_ACTIVITY_2,GPL571,core_full_benchmark,scored_preferred_coverage,1,0.671235034656585,0.671235034656585,0.671235034656585,0,0,0,253,no_major_flag_in_step5
ENDOPREDICT_11,GPL6480,subtype_validation_only,scored_preferred_coverage,1,0.600142551674982,0.600142551674982,0.600142551674982,0,0,1,107,no_major_flag_in_step5
ENDOPREDICT_11,GPL18573,core_full_benchmark,scored_preferred_coverage,1,0.64955985915493,0.64955985915493,0.64955985915493,0,0,0,222,no_major_flag_in_step5
ENDOPREDICT_11,GPL20078,large_stress_test,scored_preferred_coverage,1,0.629513593882753,0.629513593882753,0.629513593882753,0,0,1,654,no_major_flag_in_step5
ENDOPREDICT_11,GPL30493,large_stress_test,scored_preferred_coverage,1,0.628613017259306,0.628613017259306,0.628613017259306,0,0,1,334,no_major_flag_in_step5
ENDOPREDICT_11,GPL96,core_full_benchmark,scored_preferred_coverage,2,0.649338546024549,0.614119433198381,0.684557658850718,0,0,0,666,no_major_flag_in_step5
ENDOPREDICT_11,GPL570,core_full_benchmark,scored_preferred_coverage,3,0.642058985162118,0.549483910139648,0.728114478114478,1,0,0,359,potential_failure_mode
ENDOPREDICT_11,GPL571,core_full_benchmark,scored_preferred_coverage,1,0.58026149968494,0.58026149968494,0.58026149968494,0,0,0,253,no_major_flag_in_step5
GENE76,GPL6480,subtype_validation_only,scored_preferred_coverage,1,0.467585692995529,0.467585692995529,0.467585692995529,1,0,1,105,potential_failure_mode
GENE76,GPL18573,core_full_benchmark,scored_preferred_coverage,1,0.612764084507042,0.612764084507042,0.612764084507042,0,0,0,222,no_major_flag_in_step5
GENE76,GPL20078,large_stress_test,scored_preferred_coverage,1,0.510524638912489,0.510524638912489,0.510524638912489,1,0,1,654,potential_failure_mode
GENE76,GPL30493,large_stress_test,scored_preferred_coverage,1,0.479888467014713,0.479888467014713,0.479888467014713,1,0,1,282,potential_failure_mode
GENE76,GPL96,core_full_benchmark,scored_preferred_coverage,2,0.602570459520635,0.55086032388664,0.654280595154631,0,0,0,666,no_major_flag_in_step5
GENE76,GPL570,core_full_benchmark,scored_preferred_coverage,3,0.541857483055505,0.515482695810565,0.577861952861953,2,0,0,359,potential_failure_mode
GENE76,GPL571,core_full_benchmark,scored_preferred_coverage,1,0.579080025204789,0.579080025204789,0.579080025204789,0,0,0,253,no_major_flag_in_step5
GGI_128_PROBE,GPL6480,subtype_validation_only,scored_preferred_coverage,1,0.599797365754813,0.599797365754813,0.599797365754813,0,0,1,110,no_major_flag_in_step5
GGI_128_PROBE,GPL18573,core_full_benchmark,scored_preferred_coverage,1,0.669542253521127,0.669542253521127,0.669542253521127,0,0,0,222,no_major_flag_in_step5
GGI_128_PROBE,GPL20078,large_stress_test,scored_preferred_coverage,1,0.638232795242141,0.638232795242141,0.638232795242141,0,0,1,654,no_major_flag_in_step5
GGI_128_PROBE,GPL30493,large_stress_test,scored_preferred_coverage,1,0.630941983780412,0.630941983780412,0.630941983780412,0,0,1,334,no_major_flag_in_step5
GGI_128_PROBE,GPL96,core_full_benchmark,scored_preferred_coverage,2,0.690249493756293,0.635880566801619,0.744618420710966,0,0,0,666,no_major_flag_in_step5
GGI_128_PROBE,GPL570,core_full_benchmark,scored_preferred_coverage,3,0.568785491848324,0.561020036429873,0.72516835016835,0,0,0,359,no_major_flag_in_step5
GGI_128_PROBE,GPL571,core_full_benchmark,scored_preferred_coverage,1,0.621928166351607,0.621928166351607,0.621928166351607,0,0,0,253,no_major_flag_in_step5
IFNG_18,GPL6480,subtype_validation_only,scored_preferred_coverage,1,0.563323201621074,0.563323201621074,0.563323201621074,0,0,1,110,no_major_flag_in_step5
IFNG_18,GPL18573,core_full_benchmark,scored_preferred_coverage,1,0.676144366197183,0.676144366197183,0.676144366197183,0,0,0,222,no_major_flag_in_step5
IFNG_18,GPL20078,large_stress_test,scored_preferred_coverage,1,0.668096856414613,0.668096856414613,0.668096856414613,0,0,1,654,no_major_flag_in_step5
IFNG_18,GPL30493,large_stress_test,scored_preferred_coverage,1,0.660428363485132,0.660428363485132,0.660428363485132,0,0,1,334,no_major_flag_in_step5
IFNG_18,GPL96,core_full_benchmark,scored_preferred_coverage,2,0.675697730350349,0.593804367583288,0.757591093117409,0,0,0,666,no_major_flag_in_step5
IFNG_18,GPL570,core_full_benchmark,scored_preferred_coverage,3,0.586520947176685,0.56658728704891,0.70959595959596,0,0,0,359,no_major_flag_in_step5
IFNG_18,GPL571,core_full_benchmark,scored_preferred_coverage,1,0.680608065532451,0.680608065532451,0.680608065532451,0,0,0,253,no_major_flag_in_step5
MAMMAPRINT_70,GPL6480,subtype_validation_only,scored_preferred_coverage,1,0.571988595866001,0.571988595866001,0.571988595866001,0,0,1,107,no_major_flag_in_step5
MAMMAPRINT_70,GPL18573,core_full_benchmark,scored_preferred_coverage,1,0.672447183098592,0.672447183098592,0.672447183098592,0,0,0,222,no_major_flag_in_step5
MAMMAPRINT_70,GPL20078,large_stress_test,scored_preferred_coverage,1,0.624650792968582,0.624650792968582,0.624650792968582,0,0,1,651,no_major_flag_in_step5
MAMMAPRINT_70,GPL30493,large_stress_test,scored_preferred_coverage,1,0.614998282967033,0.614998282967033,0.614998282967033,0,0,1,328,no_major_flag_in_step5
MAMMAPRINT_70,GPL96,core_full_benchmark,scored_low_coverage_exploratory,2,0.717214441833066,0.664726720647773,0.769702163018358,0,1,0,666,potential_failure_mode
MAMMAPRINT_70,GPL570,core_full_benchmark,scored_preferred_coverage,3,0.591683458508884,0.524590163934426,0.727272727272727,1,0,0,359,potential_failure_mode
MAMMAPRINT_70,GPL571,core_full_benchmark,scored_low_coverage_exploratory,1,0.642328292375551,0.642328292375551,0.642328292375551,0,1,0,253,potential_failure_mode
ONCOTYPE_DX_21,GPL24546,limited_subtype_panel_or_gene_space,scored_preferred_coverage,1,0.581969486823856,0.581969486823856,0.581969486823856,0,0,1,173,potential_failure_mode
ONCOTYPE_DX_21,GPL6480,subtype_validation_only,scored_preferred_coverage,1,0.607994389901823,0.607994389901823,0.607994389901823,0,0,1,108,no_major_flag_in_step5
ONCOTYPE_DX_21,GPL18573,core_full_benchmark,scored_preferred_coverage,1,0.708362676056338,0.708362676056338,0.708362676056338,0,0,0,222,no_major_flag_in_step5
ONCOTYPE_DX_21,GPL20078,large_stress_test,scored_preferred_coverage,1,0.703940101954121,0.703940101954121,0.703940101954121,0,0,1,654,no_major_flag_in_step5
ONCOTYPE_DX_21,GPL30493,large_stress_test,scored_preferred_coverage,1,0.675899355375338,0.675899355375338,0.675899355375338,0,0,1,334,no_major_flag_in_step5
ONCOTYPE_DX_21,GPL96,core_full_benchmark,scored_preferred_coverage,2,0.680717817281713,0.642965587044535,0.718470047518891,0,0,0,666,no_major_flag_in_step5
ONCOTYPE_DX_21,GPL570,core_full_benchmark,scored_preferred_coverage,3,0.671368382487635,0.573770491803279,0.72516835016835,0,0,0,359,no_major_flag_in_step5
ONCOTYPE_DX_21,GPL571,core_full_benchmark,scored_preferred_coverage,1,0.62177063642092,0.62177063642092,0.62177063642092,0,0,0,253,no_major_flag_in_step5
PAM50,GPL24546,limited_subtype_panel_or_gene_space,scored_preferred_coverage,1,0.605825242718447,0.605825242718447,0.605825242718447,0,0,1,173,potential_failure_mode
PAM50,GPL6480,subtype_validation_only,scored_preferred_coverage,1,0.61870989530564,0.61870989530564,0.61870989530564,0,0,1,110,no_major_flag_in_step5
PAM50,GPL18573,core_full_benchmark,scored_preferred_coverage,1,0.706382042253521,0.706382042253521,0.706382042253521,0,0,0,222,no_major_flag_in_step5
