dataset_accession,matrix_label,platform,analysis_set,classifier_id,classifier_score_name,score_status,n,n_pcr,n_rd,pcr_prevalence,n_unique_patients,raw_auc_high_score_predicts_pcr,discovery_aligned_auc,auc_ci_low_bootstrap,auc_ci_high_bootstrap,auc_bootstrap_valid_replicates,average_precision_pr_auc,pr_auc_baseline_pcr_prevalence,pr_auc_minus_pcr_prevalence,wilcoxon_p_value_aligned_score,discovery_direction_sign,performance_role,wilcoxon_q_value_aligned_score
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,110,47,63,0.4273,110,0.584262073623776,0.584262073623776,0.476247797038642,0.702103160762038,500,0.513456265418704,0.4273,0.0861835381459766,0.132437445668291,1,limited_or_subtype_exploratory,0.175159202335481
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,222,80,142,0.3604,222,0.629137323943662,0.629137323943662,0.557179498384947,0.706989313805976,500,0.497567701689993,0.3604,0.137207341329632,0.00141405235609997,1,external_core_validation,0.00297313572308199
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,654,214,440,0.3272,654,0.61839422259983,0.61839422259983,0.568587287120794,0.662286504726377,500,0.435959895346359,0.3272,0.108742769964096,8.78093445995654e-07,1,large_stress_test,4.50022891072773e-06
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,334,105,229,0.3144,334,0.63967560823456,0.63967560823456,0.579571971238638,0.711675822679059,500,0.457647695890265,0.3144,0.143276438405235,4.15639962196102e-05,1,large_stress_test,0.000136329907600322
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,178,26,152,0.1461,178,0.638410931174089,0.638410931174089,0.521184885290148,0.755389168305981,500,0.274956007289236,0.1461,0.128888591558899,0.0243952851174693,1,external_core_validation,0.0392237917574997
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,488,99,389,0.2029,488,0.524992859183091,0.524992859183091,0.463754365296818,0.586546882804695,500,0.204515842149469,0.2029,0.00164698969045299,0.442531679628105,1,discovery_calibration_base,0.477468391177692
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,115,27,88,0.2348,115,0.662457912457913,0.662457912457913,0.532556892453951,0.774559294871795,500,0.42035158653679,0.2348,0.185568977841137,0.0109690940295049,1,external_core_validation,0.0187388689670708
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,253,69,184,0.2727,253,0.671235034656585,0.671235034656585,0.59395924736936,0.746595286538845,500,0.391194601574174,0.2727,0.118467328846902,2.75581550200248e-05,1,external_core_validation,9.50017615869973e-05
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,156,53,103,0.3397,156,0.564755449716065,0.564755449716065,0.473840917284073,0.657567597526485,500,0.399660094265414,0.3397,0.0599165045218239,0.186545851723699,1,external_core_validation,0.228309848378258
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,88,27,61,0.3068,88,0.599878567091682,0.599878567091682,0.476105567226891,0.711889978213508,500,0.373897607603929,0.3068,0.0670794257857472,0.137846300929114,1,external_core_validation,0.179418994860117
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,107,46,61,0.4299,107,0.600142551674982,0.600142551674982,0.491616179615111,0.697844440164355,500,0.518926983440704,0.4299,0.0890204413846288,0.0775480106635797,1,limited_or_subtype_exploratory,0.104244866793664
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,222,80,142,0.3604,222,0.64955985915493,0.64955985915493,0.583287339669015,0.723377983355114,500,0.454009811977012,0.3604,0.0936494516166514,0.000218417492227252,1,external_core_validation,0.000617594288366713
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,654,214,440,0.3272,654,0.629513593882753,0.629513593882753,0.585573967736889,0.670729836282762,500,0.408016915558698,0.3272,0.0807997901764347,7.49048211607013e-08,1,large_stress_test,6.1421953351775e-07
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,334,105,229,0.3144,334,0.628613017259306,0.628613017259306,0.567641902122821,0.686217121170587,500,0.401412591492045,0.3144,0.0870413340070151,0.000160687615210895,1,large_stress_test,0.000470585158831905
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,178,26,152,0.1461,178,0.614119433198381,0.614119433198381,0.507380581222538,0.718210292344786,500,0.193384287485511,0.1461,0.0473168717551737,0.0635312741273519,1,external_core_validation,0.089820077214532
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,488,99,389,0.2029,488,0.684557658850718,0.684557658850718,0.63321113397001,0.738471505963677,500,0.310678290209193,0.2029,0.107809437750176,1.40132877896049e-08,1,discovery_calibration_base,1.27676622083067e-07
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,115,27,88,0.2348,115,0.728114478114478,0.728114478114478,0.636172727272727,0.812851496140435,500,0.35502159659923,0.2348,0.120238987903578,0.000352872002915138,1,external_core_validation,0.00093340336254972
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,253,69,184,0.2727,253,0.58026149968494,0.58026149968494,0.51178178106047,0.65413605253035,500,0.326857928548861,0.2727,0.0541306558215882,0.0494463001624308,1,external_core_validation,0.0750851224688765
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,156,53,103,0.3397,156,0.642058985162118,0.642058985162118,0.559663089373681,0.724158205258527,500,0.449308592004044,0.3397,0.109565002260454,0.00373258428663126,1,external_core_validation,0.00695617980690371
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,88,27,61,0.3068,88,0.549483910139648,0.549483910139648,0.418785391659307,0.672853551720307,500,0.338906281440826,0.3068,0.0320880996226446,0.463630625118511,1,external_core_validation,0.493736509866466
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,105,44,61,0.419,105,0.467585692995529,0.467585692995529,0.364958166917678,0.585236601382174,500,0.410093216754097,0.419,-0.00895440229352201,0.57426920946171,1,limited_or_subtype_exploratory,0.603718912511028
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,222,80,142,0.3604,222,0.612764084507042,0.612764084507042,0.531451130769235,0.684749499239588,500,0.464515262991343,0.3604,0.104154902630982,0.00532072868391281,1,external_core_validation,0.00948477721914891
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,654,214,440,0.3272,654,0.510524638912489,0.510524638912489,0.46408112002122,0.554625061864313,500,0.327291339947164,0.3272,7.42145649006987e-05,0.662177171710173,1,large_stress_test,0.678731601002927
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,282,86,196,0.305,282,0.479888467014713,0.479888467014713,0.416923768356357,0.546509966777409,500,0.276374551294983,0.305,-0.028589987712109,0.59134914802897,1,large_stress_test,0.613805444789564
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,178,26,152,0.1461,178,0.55086032388664,0.55086032388664,0.425476383532024,0.679410580322691,500,0.201969461848032,0.1461,0.0559020461176951,0.408922799314507,1,external_core_validation,0.447088927250528
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,488,99,389,0.2029,488,0.654280595154631,0.654280595154631,0.593807128083075,0.713955393538375,500,0.286234280060091,0.2029,0.083365427601075,2.11142268914673e-06,1,discovery_calibration_base,1.01845094417666e-05
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,115,27,88,0.2348,115,0.577861952861953,0.577861952861953,0.470200845097474,0.694139296187683,500,0.288695009393586,0.2348,0.0539124006979338,0.223450481804643,1,external_core_validation,0.261756278685439
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,253,69,184,0.2727,253,0.579080025204789,0.579080025204789,0.496512232805002,0.648338643801834,500,0.320352056532129,0.2727,0.0476247838048564,0.052893730576088,1,external_core_validation,0.0788597437679857
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,156,53,103,0.3397,156,0.541857483055505,0.541857483055505,0.442985683497537,0.643612707657579,500,0.37969064526288,0.3397,0.0399470555192907,0.393582987385554,1,external_core_validation,0.436132499535344
