classifier_id,scenario_id,classifier_score_name,n_datasets,n_total_samples,n_total_pcr,median_auc,min_auc,max_auc,iqr_auc,median_pr_auc,median_pcr_prevalence,n_auc_ge_0_60,n_auc_ge_0_65,datasets,scenario_label,scenario_definition,primary_for_claim,scenario_rank,evaluable,primary_rank,primary_median_auc,rank_shift_vs_primary
IFNG_18,all_external_non_discovery_preferred,IFN-gamma 18-gene mean z score,9,2110,648,0.668096856414613,0.563323201621074,0.757591093117409,0.094087118355766,0.480572615896806,0.3144,6,6,GSE130786_GPL6480;GSE163882_GPL18573;GSE194040_GPL20078;GSE194040_GPL30493;GSE20271_GPL96;GSE32646_GPL570;GSE41998_GPL571;GSE50948_GPL570;GSE66305_GPL570,"All non-discovery matrices, preferred coverage",performance_role != discovery_calibration_base; score_status == preferred,no,1,yes,1,0.678376215864817,0
ONCOTYPE_DX_21,all_external_non_discovery_preferred,OncotypeDX approximate weighted expression score,10,2281,750,0.657166984766085,0.573770491803279,0.72516835016835,0.085491463777828,0.477868428291115,0.3208,8,5,GSE109710_GPL24546;GSE130786_GPL6480;GSE163882_GPL18573;GSE194040_GPL20078;GSE194040_GPL30493;GSE20271_GPL96;GSE32646_GPL570;GSE41998_GPL571;GSE50948_GPL570;GSE66305_GPL570,"All non-discovery matrices, preferred coverage",performance_role != discovery_calibration_base; score_status == preferred,no,2,yes,3,0.657166984766085,-1
PAM50,all_external_non_discovery_preferred,PAM50 non-luminal affinity score,10,2283,751,0.653597777168359,0.594414086217365,0.755050505050505,0.0619289065298667,0.430592441138169,0.3208,9,5,GSE109710_GPL24546;GSE130786_GPL6480;GSE163882_GPL18573;GSE194040_GPL20078;GSE194040_GPL30493;GSE20271_GPL96;GSE32646_GPL570;GSE41998_GPL571;GSE50948_GPL570;GSE66305_GPL570,"All non-discovery matrices, preferred coverage",performance_role != discovery_calibration_base; score_status == preferred,no,3,yes,2,0.669683133646608,1
GGI_128_PROBE,all_external_non_discovery_preferred,GGI grade-3 minus grade-1 expression score,9,2110,648,0.630941983780412,0.561020036429873,0.72516835016835,0.038435429487328,0.393923724911041,0.3144,6,2,GSE130786_GPL6480;GSE163882_GPL18573;GSE194040_GPL20078;GSE194040_GPL30493;GSE20271_GPL96;GSE32646_GPL570;GSE41998_GPL571;GSE50948_GPL570;GSE66305_GPL570,"All non-discovery matrices, preferred coverage",performance_role != discovery_calibration_base; score_status == preferred,no,4,yes,6,0.628904366576613,-2
CYTOLYTIC_ACTIVITY_2,all_external_non_discovery_preferred,Cytolytic activity mean z score,9,2110,648,0.629137323943662,0.564755449716065,0.671235034656585,0.0397970411428781,0.42035158653679,0.3144,6,2,GSE130786_GPL6480;GSE163882_GPL18573;GSE194040_GPL20078;GSE194040_GPL30493;GSE20271_GPL96;GSE32646_GPL570;GSE41998_GPL571;GSE50948_GPL570;GSE66305_GPL570,"All non-discovery matrices, preferred coverage",performance_role != discovery_calibration_base; score_status == preferred,no,5,yes,4,0.633774127558876,1
ENDOPREDICT_11,all_external_non_discovery_preferred,EndoPredict approximate weighted expression score,9,2107,647,0.628613017259306,0.549483910139648,0.728114478114478,0.041916433487136,0.401412591492045,0.3144,7,1,GSE130786_GPL6480;GSE163882_GPL18573;GSE194040_GPL20078;GSE194040_GPL30493;GSE20271_GPL96;GSE32646_GPL570;GSE41998_GPL571;GSE50948_GPL570;GSE66305_GPL570,"All non-discovery matrices, preferred coverage",performance_role != discovery_calibration_base; score_status == preferred,no,6,yes,7,0.628089209180249,-1
MAMMAPRINT_70,all_external_non_discovery_preferred,MammaPrint approximate poor-prognosis score,7,1667,549,0.614998282967033,0.524590163934426,0.727272727272727,0.0667129608461444,0.408934941215834,0.3257,4,2,GSE130786_GPL6480;GSE163882_GPL18573;GSE194040_GPL20078;GSE194040_GPL30493;GSE32646_GPL570;GSE50948_GPL570;GSE66305_GPL570,"All non-discovery matrices, preferred coverage",performance_role != discovery_calibration_base; score_status == preferred,no,7,yes,5,0.632065320803738,2
GENE76,all_external_non_discovery_preferred,Wang 76-gene weighted risk score,9,2053,626,0.541857483055505,0.467585692995529,0.612764084507042,0.067337313949464,0.327291339947164,0.3068,1,0,GSE130786_GPL6480;GSE163882_GPL18573;GSE194040_GPL20078;GSE194040_GPL30493;GSE20271_GPL96;GSE32646_GPL570;GSE41998_GPL571;GSE50948_GPL570;GSE66305_GPL570,"All non-discovery matrices, preferred coverage",performance_role != discovery_calibration_base; score_status == preferred,no,8,yes,8,0.564361138374296,0
IFNG_18,all_external_non_discovery_with_low_coverage,IFN-gamma 18-gene mean z score,9,2110,648,0.668096856414613,0.563323201621074,0.757591093117409,0.094087118355766,0.480572615896806,0.3144,6,6,GSE130786_GPL6480;GSE163882_GPL18573;GSE194040_GPL20078;GSE194040_GPL30493;GSE20271_GPL96;GSE32646_GPL570;GSE41998_GPL571;GSE50948_GPL570;GSE66305_GPL570,"All non-discovery matrices, include low coverage",performance_role != discovery_calibration_base; score_status in preferred or low-coverage exploratory,no,1,yes,1,0.678376215864817,0
ONCOTYPE_DX_21,all_external_non_discovery_with_low_coverage,OncotypeDX approximate weighted expression score,10,2281,750,0.657166984766085,0.573770491803279,0.72516835016835,0.085491463777828,0.477868428291115,0.3208,8,5,GSE109710_GPL24546;GSE130786_GPL6480;GSE163882_GPL18573;GSE194040_GPL20078;GSE194040_GPL30493;GSE20271_GPL96;GSE32646_GPL570;GSE41998_GPL571;GSE50948_GPL570;GSE66305_GPL570,"All non-discovery matrices, include low coverage",performance_role != discovery_calibration_base; score_status in preferred or low-coverage exploratory,no,2,yes,3,0.657166984766085,-1
